Population by GN division and age|||||||||Census of Population and Housing 2012|||||||||||||
|GN|||||||||||Age group||||||||||
Ihala Kolongaswewa Konakumbukwewa|8791|553696|5665|4968|4661|3759|3439|3747|4647|4043|3560|3154|3350|3927|3235|1712|811|1012|22|13|01|00
KedewaKallanchiya|9789|597790|4269|5660|3657|4863|3255|3964|4060|4842|4246|3959|4656|4544|3744|1924|1519|716|45|26|01|00
GonewaIkirigollewa|92102|1,0914,018|130479|108474|96452|100427|92352|93332|105336|77247|70213|62192|54171|28140|3089|1853|1225|1220|38|13|02|03
WahamalgollewaWahamalgollewa Track 03|108109|926676|8584|9471|7358|7150|7245|7858|7777|8941|5749|5931|5931|4435|3719|1012|158|36|21|10|00|00
PallankulamaMahawewa|99114|1,2651,175|123108|119131|103101|8494|9069|10382|133103|97100|9083|8072|8965|4854|3946|2030|1915|149|1011|40|02|00
Pandukabhayapura Katupuliyankulama|115112|8551,091|97105|8197|78118|7298|7576|5162|8099|6789|6384|5066|4554|3541|3042|1230|917|54|23|15|20|01
SandamalgamaRambewa|113100|9311,568|101144|86132|74141|72101|54110|66140|97159|74153|74130|5890|5796|3460|3049|1934|1915|811|41|12|10|20
NabadagaswewaMahakanadarawa R. B. Track 02|10193|843853|89102|6787|6267|5963|5665|6654|7681|6273|7268|5850|5350|4325|3121|2217|1311|811|56|12|00|00
KapiriggamaPeenagama|9890|456817|4294|4074|3971|2464|2646|2059|4363|3561|3471|3749|2245|2844|2423|1421|1413|811|35|32|01|00
MeemalwewaRotawewa|8895|544693|4280|5365|3461|4958|5353|3847|3763|3157|4860|3339|3830|2726|2220|812|1010|114|52|41|03|12
KudagamaMahakanadarawa R. B. Track 01|9694|702926|6493|5969|5768|5869|5762|6681|7484|5275|4751|3559|4359|3661|2041|1319|915|310|84|03|12|01
KahatagasdigiliyaKirigallewa|226|40,339808|4,37880|3,99682|3,72960|3,32353|2,88455|2,83965|3,47882|3,11161|2,62143|2,50443|2,26159|1,82943|1,46536|75715|51019|3546|1492|593|380|541
RathmalgahawewaKudapattiya|225207|8651,283|74125|64125|69104|66114|6779|7192|77114|68103|6581|5593|6169|4372|3451|1925|1615|1112|54|02|03|00
Maha Kumbukwewa|222|803|80|67|57|64|39|46|72|66|51|44|61|51|40|15|22|16|8|2|0|2
PalippothanaGonumeru Wewa|224223|587787|67102|53100|3893|2964|4249|5544|5063|3969|3840|3546|2634|3324|3925|1320|109|93|61|11|10|30
ThurukkuragamaMaha Kiribbewa|234233|1,0391,081|114137|104149|140121|12797|8286|7386|8179|7377|6046|5262|4544|3637|3124|1113|65|411|02|01|00|04
Maha GalkandegamaDachchihalmillawewa|235206|7081,054|71111|75102|6393|6288|5566|5271|5488|5982|5676|4767|3158|2844|2243|1430|820|56|25|21|12|11
Maha HammillawewaKumbukgollewa|208209|840885|8086|8889|6755|7768|4472|4272|6784|7560|5549|5457|4955|5657|3432|2020|1016|117|55|11|30|20
PandarellewaSampathgama|210205|7631,388|79181|69187|63174|53119|43104|5395|61107|63107|5487|4768|5657|4331|3338|2016|1212|103|22|10|10|00
ThallattewaMahawewa|217221|8761,363|83158|78129|70127|62109|76110|6189|73129|67119|6694|6390|5465|4952|3235|1923|912|107|03|21|22|09
Kahatagasdigiliya EastKahatagasdigiliya West|231232|1,7462,204|165252|184229|175216|140190|118187|123168|175192|155165|126117|117116|86122|7096|4060|3145|2514|614|57|07|25|32
KokmaduwaMoragahawela|201202|1,146652|11856|11154|11947|12149|6842|7346|9354|8058|8837|6938|6641|5742|3834|920|1612|1313|63|12|02|02
SamadhigamaMekichchawa|204203|6971,379|82155|53106|61150|66119|56106|58106|77143|51100|3891|4090|3053|3257|2149|1324|815|76|27|11|11|00
RanpathvilaBethkewa ‐ Thulana|196198|1,3881,192|135133|138125|108107|12688|10274|8777|10990|9495|104104|9981|8958|7847|5754|3225|1017|129|45|41|00|02
Maha MessalewaKohombagaskada|230220|1,692933|167113|18271|16170|13175|10681|11373|17693|14666|11459|10662|8249|6845|4737|3714|1913|217|82|11|22|50
KonwewaAmbagahawewa|216213|1,240868|13379|11198|12080|10868|11465|9258|9574|7576|7766|8256|7950|5236|3826|3011|1310|125|85|13|00|02
PanwellaMee ‐ Kumbukwewa|211212|627849|7088|7169|5981|3479|3656|3655|6553|5073|4758|3362|3658|3143|2239|139|1115|69|21|10|01|40
TikkampothanaPunchi Halmillewa|214219|430648|3676|3670|3058|3944|3350|3254|3462|3147|3142|4841|2440|1926|1414|108|78|44|10|13|01|00
WeligollewaDivulwewa|218215|8371,202|118145|94135|123123|8494|4389|5394|6494|5890|5175|4671|4373|3044|1538|810|49|311|05|01|01|00
DiganhalmillawewaKelenikawewa|229227|1,191952|133126|107111|9279|8281|8273|8857|11277|9271|7360|7558|7658|5637|5730|2213|2310|118|72|21|10|00
NelugollakadaEllawewa|228197|671873|7884|5656|5076|4873|6368|5163|5761|3674|4150|3956|3857|3649|3445|1522|1315|1012|45|11|01|15
Nekutunu WewaKanadara ‐ Rathmale|200199|1,103689|14266|11256|8763|8349|7033|7243|9552|9842|6051|4749|7752|4237|5948|3211|139|713|44|15|21|05
HorowpothanaWahalkada D 2|145|36,9901,240|4,374122|3,715125|3,355118|3,12087|2,858112|2,84999|3,255110|2,74485|2,39082|2,23980|1,88770|1,59252|1,15236|59121|38618|27014|1064|531|194|350
Wahalkada D 1Maradanmaduwa|144146|1,011875|11797|7796|6958|9960|9244|7768|10493|6281|6959|6843|5745|3741|2647|3019|1811|47|14|02|10|30
Pahala Divulwewa Weerasole|141139|6381,080|75140|61124|48115|52107|5576|6574|6495|5072|2565|3048|3740|3464|2323|717|57|49|31|01|01|01
AnaolondewaKapugollewa|138140|1,4281,008|196114|177101|13768|10875|9276|11997|15096|10391|7948|7068|6453|5946|3535|1918|1010|66|44|01|01|00
WagollakadaDutuwewa|143142|6111,067|59118|6093|4389|6199|5993|4783|3984|4380|4084|4369|4049|3163|2027|816|47|810|32|21|00|10
MorawewaThawalanhalmillewa|135137|951436|11652|9837|7823|6830|5342|7245|9534|8526|6627|7033|5422|3630|1717|227|94|76|41|00|00|10
ThimbiriettawalaNikawewa|123121|1,0591,120|173135|105104|146113|11989|11582|8493|6777|5990|4475|4586|3954|2445|1635|1517|810|08|02|00|02|03
WelimuwapothanaKivulekada|120129|9031,330|121180|90148|74160|57179|75107|77106|72100|6683|5964|5071|5044|4232|3023|1716|1312|63|11|31|00|00
PuhulewewaRathmale|134147|1,065856|113120|9782|83108|7864|7859|9157|8396|8566|9256|7744|7028|4331|3625|158|156|53|22|11|00|10
WelangahaulpathaMaradankadawala|148133|3191,630|40214|30184|42149|38127|15114|25129|17141|22121|14105|1897|1666|962|1751|834|113|311|15|14|10|13
HorowpothanaMedawachchi Handiya|128130|1,886750|15978|19167|14361|14671|17870|16149|20967|15960|13451|10348|8436|7623|5625|3111|2717|148|74|21|13|50
MukkarawewaIhala Angunachchiya|122119|1,4271,095|207164|174134|161126|14194|10693|9978|10594|9573|10053|6053|4435|6139|4332|145|105|58|11|10|01|07
Rasnaka WewaWalahaviddawewa|118117|5651,174|50144|35117|44119|4588|4584|4292|40126|2491|4570|4058|4852|2655|3228|1723|1112|1110|43|52|10|00
GammahegewewaMorakewa|124127|7271,779|86198|77182|48155|47155|63158|56139|57162|50154|48104|61109|4686|3063|2859|1219|914|810|06|14|01|01
NanumillawewaThirappankadawala|131136|832831|8588|8467|7376|6484|3959|5361|8682|6850|7750|5163|5149|4338|2529|109|1010|714|42|20|00|00
ParangiyawadiyaNabadawewa|149152|977978|102118|107104|8582|7397|5486|5379|7786|8374|7064|7145|6357|5333|4019|1613|187|48|35|41|00|10
PuliyankadawalaVilewewa|150132|1,080560|12376|8654|7847|9044|10447|9543|10847|8338|6441|7637|5531|4921|2914|189|77|83|31|20|00|20
WadigawewaKalpe|126125|671834|7074|5084|6678|6451|3444|4742|4266|4071|5075|6153|5447|3648|2549|1017|911|611|37|43|01|02
Dekethipothana|153|834|90|75|71|74|55|45|59|68|73|57|55|40|30|21|6|8|3|1|1|2
DematawewaDiyatittawewa|154151|622741|7090|5484|5071|4253|4456|4958|6065|4251|4127|3944|4551|3542|2921|715|78|34|31|10|00|10
GalenbindunuwewaKonwewa|156|46,992620|4,89667|4,23954|3,53946|3,60555|3,25245|3,55050|4,20163|3,70243|3,16643|2,85343|2,74145|2,44625|1,98524|1,1879|7653|4553|2271|1031|440|360
EllawewaKataranpuraya|178168|1,784974|214107|164100|14972|14873|14553|12864|14579|14293|13268|9056|10351|9341|6351|3325|1522|911|64|12|01|41
DutuwewaPerettupala Gama|165167|8981,097|8299|7183|6987|6983|5967|7081|82101|6983|5875|5969|5379|4466|3744|3733|2423|813|55|24|02|00
KokawewaDutuwewa Paranagama|169166|1,7321,333|157153|145102|136102|16292|12889|132105|165117|12593|134107|12380|9484|8559|5757|3237|2925|1615|411|43|21|21
21 Colony East21 Colony West|180179|674799|5967|5266|4958|5267|3552|3858|5155|6158|4252|4967|4653|4248|3935|2217|1818|912|86|25|02|03
UlpathgamaUpuldeniya|158155|1,0021,338|114148|96136|82125|7489|7594|6288|89110|80112|63107|6180|6267|4959|4453|1424|1925|1412|27|01|00|21
HimbutugollewaMailagaswewa|157159|884780|9764|9665|7762|5574|5361|7148|8249|7962|5975|5061|5251|4235|3219|1317|1415|614|57|10|00|01
IhalagamaGalenbindunuwewa|163162|5321,949|53144|60114|50133|42165|29191|36192|47175|48155|48145|34128|31131|1585|1987|1047|627|217|15|06|12|00
KaruwalagaswewaPalugollagama|173170|1,5991,091|167141|11688|9670|11285|12645|13586|141113|12278|8672|7478|9167|10060|9940|7430|3123|215|35|32|22|01
Aluth DivulwewaGetalawa|171172|1,0581,812|99210|96150|74123|113124|64123|68147|83142|89147|75121|68105|8682|5099|4594|1566|1135|928|88|45|12|01
HurulunikawewaIlukbadayagama|176164|1,2811,819|136189|116164|94148|74159|78155|86148|104179|98106|81108|74112|83101|8394|7866|4942|2218|714|710|56|30|30
Kuda GalenbindunuwewaThammennagama|161160|1,043412|13436|8638|6822|9726|7531|7836|9839|10131|7134|6625|4924|4432|3220|258|126|33|11|00|30|00
SivalakulamaGomarankalla|182190|929824|8890|9477|7152|5360|6450|7675|8687|8878|6037|5537|4949|5146|3839|2224|1211|117|31|51|22|11
HurulunikawewaKumbukwewa|177175|1,1481,514|121154|108125|97120|87128|59104|65131|98135|98122|6997|5979|6465|5972|5779|5354|2829|1310|37|61|31|11
JanasirigamaKurunegala Colony|174194|2,1451,413|252133|204152|148113|15489|12198|18480|221136|168118|12792|11492|11268|11984|8561|6341|4126|1720|96|32|22|10
Nuwaragam ColonyHurulu Jayapura|195189|772931|77101|6484|6065|7151|5179|5972|6482|6063|4458|4847|5065|5153|2740|1825|1417|514|87|04|13|01
Sunanda MawathaGalwaduwagama|191183|1,0741,489|127131|112145|64123|8699|75108|7797|105163|97126|77119|5996|5281|5263|4752|1632|928|1214|46|22|01|13
MuriyakadawalaIhala Galkulama|181187|8801,345|110141|95128|57129|60117|4976|76109|93112|7098|43102|3786|5287|5661|3246|1621|1113|1414|53|11|00|31
HurulumeegahapattiyaNuwaraeli Colony|188193|793459|8956|9039|5424|5921|4825|5435|7649|6241|4026|4322|6618|3235|2729|1816|89|171|610|33|10|00
PandikaramaduwaYakalla|192186|1,0962,044|99231|106220|99158|97152|71157|67161|88184|93132|60142|74122|55109|63108|5381|2833|1924|1114|1011|34|01|00
ManankattiyaWannamkulama|184185|1,121504|11247|9741|9023|9536|10044|8540|8132|7835|8136|9437|8331|4843|3225|1315|169|64|35|41|10|20
MihinthaleUkkulankulama|588|35,2931,147|3,280126|3,035101|2,772105|2,85284|4,53498|2,62782|2,949121|2,51393|2,36556|2,17670|1,89260|1,41757|1,20747|63923|4476|30814|1441|762|281|320
Mahakanadarawa Track 03Mahakanadarawa Track 02|585584|8161,074|68116|8091|64105|5998|6471|5679|7077|5282|5375|5875|7059|3839|3139|1720|1219|1515|68|32|03|01
Mahakanadarawa Track 01Maradankulama|583586|1,0301,373|119145|94123|103125|83121|62110|74100|8599|7995|7394|6690|5185|4656|3656|2626|1422|813|84|15|11|13
DoramadalawaKunchikulama|587573|8102,850|82282|72294|53234|78250|78219|64195|72299|42224|56221|64215|55151|4190|2286|1038|1020|718|18|35|00|01
Hena WattaNuwarawewa|572571|2,1261,468|185109|211124|167122|165122|121102|138102|184108|194140|162117|153112|11684|9167|9658|6132|3726|2922|914|44|22|11
KurundankulamaKannattiya|574575|1,7361,553|172143|168155|140114|164153|106181|13399|178130|140102|129115|10490|93101|6367|6635|2630|2712|1420|71|34|10|21
Mihinthale Ruwangama|577578|4,2632,164|198219|198206|184192|182171|2,016239|339149|233190|210163|176135|122134|137110|8688|7270|4048|2325|1512|139|54|50|90
NamalwewaBogahayaya|579582|1,2721,181|115117|109122|12996|112107|9899|11187|97102|8884|11081|6880|6770|5553|4334|2322|2112|147|75|42|11|00
PothanaSeeppukulama|564566|1,4531,270|179133|151119|13699|104120|119104|12397|150111|9898|83101|8272|7058|5346|5159|1723|1715|136|55|13|00|11
ThammennawaKasamaduwa|567568|7031,077|7794|6988|5392|39113|5385|5172|6192|5183|5577|5283|3958|3245|2944|1421|816|139|22|33|10|10
KatukeliyawaKattaduwagama|569570|1,362654|16971|13448|14035|12955|10553|10268|11153|9648|8634|7648|5739|6431|4330|2311|1413|87|24|13|11|12
KahapathvilagamaIhalagama|576565|651828|3896|4363|4852|5567|5373|3860|4574|3246|5349|4655|5558|4241|3637|2423|1817|119|77|40|31|00
MaradankallaWellaragama|581580|1,2981,134|121106|9478|9589|109112|106119|11395|104103|9578|8886|7982|9059|7848|4641|2714|3211|72|81|43|03|24
Nuwaragam Palatha EastNuwara Wewa|250|69,7371,894|5,664126|5,739156|5,591141|5,958188|5,246141|5,413133|6,066160|5,343150|5,151144|4,660145|4,260126|3,548110|2,83764|1,68847|1,11930|70514|44810|1937|551|531
Step 1 part i|248|1,859|112|119|145|194|163|157|115|101|151|154|163|105|60|43|31|24|15|5|1|1
MahakalattewaThariyankulama|279280|1,7901,246|158129|169105|17298|152121|12496|130103|144134|14586|14479|10878|10059|7557|6348|4618|2721|1610|112|52|00|10
NelunkanniyaKuda Nelumkulama|278277|1,3601,639|144164|120146|132135|109123|118112|93121|113152|89130|124138|7996|7478|5568|4468|2635|1930|1222|813|16|02|00
KeerikkulamaThammennapura|276241|1,7671,619|189144|209151|166116|148126|120109|109118|159145|161135|126122|108103|8484|6077|5084|3541|2026|1114|717|34|13|10
WannithammennawaThammennakulama|239240|1,6814,379|168377|156376|134350|130325|122262|123297|149413|126368|134359|115318|85252|66233|65182|53110|2455|1346|1135|314|03|44
Step 1 part iiStep 2 part iii|249253|2,5172,653|118210|129188|303157|240161|268199|236314|170237|176221|161183|188167|150125|118158|108114|5687|4365|2238|1120|185|11|13
Step 2 part ii  Pothanegama|252258|4,5602,838|314254|347243|347220|393203|375202|373232|508273|387225|334200|321183|275193|229144|135120|8662|6334|4224|1621|83|51|21
Step 3 part iii Step 2 part i|257251|4,8144,726|334292|345272|376276|472577|385460|365427|403356|275313|314340|374279|425268|290234|219248|89145|6398|3877|2340|1619|62|23
Step 2 part ivWanniyankulama Kotasa 4|254245|3,0821,719|212135|219182|192163|203150|21391|29099|267144|190166|205162|185120|20472|23162|21063|11341|6740|4113|2411|113|40|12
Wanniyankulama Kotasa 5Wanniyankulama Kotasa 6|246247|2,0011,785|163140|182171|155135|166133|128116|132110|167147|191164|154147|128124|116105|8579|8882|4744|4137|3127|1614|99|11|10
GnanikulamaKawarakkulama|238275|1,6611,942|165165|173161|124153|116163|118171|113147|130175|156139|111163|91128|84119|7791|8457|5845|2927|1716|1211|24|11|06
MahapaladikulamaStep 3 part i|237255|2,5463,255|291252|230310|186311|198323|214231|203205|262241|193249|166258|129213|140188|120186|90112|6075|2949|1315|822|37|45|73
Step 3 part ii Wanniyankulama Kotasa 3|256244|3,2021,301|224111|22393|273104|313111|24188|20880|227131|22086|207105|24098|28895|21852|13941|7733|3922|2921|2018|107|31|34
Wanniyankulama Kotasa 1Wanniyankulama Kotasa 2|242243|2,8291,497|264142|276141|267123|21585|17394|188153|267137|255121|215104|19097|13587|12178|10047|5932|4619|2823|208|62|33|11
SucharithagamaNachchadoowa|236|1,57525,377|1672,553|1472,235|1372,024|1201,977|1121,894|1541,983|1402,380|1251,872|1011,653|1011,579|861,577|691,221|521,056|25527|25342|8242|4162|158|124|018
KimbulakadaShrawasthipura|262259|1,5752,167|159202|140181|132154|128157|133142|128150|156204|100189|111154|102127|103120|60116|56130|2351|2236|1422|516|26|19|01
Kuda NelubewaShrawasthiwatta|265260|1,2711,636|108162|104146|96124|99130|106124|106129|104149|94120|88107|86106|8895|6978|5060|3648|1522|1212|518|34|12|10
AluthwewaAmane|261263|1,7331,603|172170|151141|137116|144104|118127|144149|179177|141122|119102|10284|9795|6976|5954|3542|2921|2212|128|31|01|01
Maha NelubewaDivulwewa|266264|1,2711,113|115100|10385|9278|8884|10097|8285|107107|9791|8473|7962|9774|8362|6256|3419|1417|1214|95|92|20|22
Hidogama Pawakkulama|271267|1,5201,147|154106|133109|12593|10789|10164|11880|132106|108100|10774|9285|8968|9051|7647|2825|2217|2210|913|55|11|14
Kaluvila NorthMadawalagama|274273|908659|7473|6159|5154|7235|7249|8050|8558|5852|5840|7145|5940|4034|5830|2013|2012|185|68|30|00|22
NachchadoowaNachchadoowa New Town|535536|1,1811,820|105192|134214|126208|121212|75124|76110|96164|84117|71111|75106|77101|6370|3542|1520|1513|99|25|12|10|00
PalayakulamaSuhadagama|538272|1,1521,113|128127|10471|8088|8293|8797|9895|11197|7174|8965|6478|7868|5057|4154|2722|1610|139|105|21|10|02
ThuruvilaKaluarachchiyagama|270268|1,3931,087|151127|12578|11390|10076|12488|11492|120105|10480|8068|9071|8876|5145|6046|2815|1416|124|146|42|12|00
PahalawewaNochchiyagama|269|1,02849,886|1285,035|964,400|673,873|564,002|663,720|974,188|1234,477|703,979|523,366|543,132|642,955|572,434|401,890|26998|11642|11438|6192|387|128|050
KukulkatuwaIttikulama|320321|636887|7296|5678|4361|4062|5677|7490|6184|5078|3844|3352|4055|2944|2529|814|79|47|04|02|00|01
RanorawaMahalindawewa|322323|438132|3717|258|2813|3112|299|3515|4910|299|3310|277|334|225|267|112|102|80|50|01|00|01
BogahawewaAmbagahawewa|324325|1,497717|14671|12760|12343|13443|13349|13364|14053|13168|12045|9245|7038|5747|5538|2117|717|513|04|10|10|12
EhetuwagamaThalgaswewa|326332|982858|10976|9677|7358|6455|8558|9174|11979|7979|5358|5156|5452|3846|3535|627|149|1212|25|12|00|00
HunuvilagamaHoruvila|327355|945778|8668|7868|6861|6247|8163|7746|9866|7965|6360|6454|5243|5647|2933|2116|1120|913|65|01|11|41
LindawewaKusumpura|331333|1,2171,828|130209|110168|96148|77166|80174|92148|104152|111131|91128|66122|7287|6782|5145|3727|1518|1012|44|32|02|13
MudithagamaRalapanawagama|337338|3,1201,534|317143|271121|24395|252128|230133|266137|272126|263112|210101|21590|197120|13187|10955|5441|4016|2618|65|84|11|91
AdampaneAndarawewa|340341|1,2161,519|136145|120121|92105|89117|94131|102144|110135|88104|78114|79107|7487|4872|5255|2230|1129|1016|55|42|20|00
Ralapanawa ColonyNochchiyagama|339334|1,5863,669|172362|140341|135309|138397|111281|114275|139342|119314|123253|95226|90191|77139|6396|2970|2239|617|910|34|13|00
DunudambuwewaThimbiriwewa|336328|1,3931,103|145110|137109|12485|11180|8064|12594|13593|11294|7386|8363|8362|7361|5649|3020|1316|69|36|01|20|21
KatupathwewaPahala Maragahawewa|329330|1,2121,125|11197|9476|9094|12189|9067|10683|9387|8881|8289|9272|8180|6861|5558|2127|924|520|311|15|10|14
NelawagamaPahala Halmillewa|349350|1,8111,797|207193|172159|133141|135129|137128|151155|192183|149141|122101|92108|96124|8498|7053|2835|2121|620|64|43|51|10
Halmillakulama|335|2,003|219|185|173|147|138|152|181|174|164|118|120|88|67|34|11|11|10|3|0|8
DunupothagamaDombawalagama|345346|1,0041,433|94149|86120|55124|60110|7984|118104|85136|81105|66110|5894|6581|5364|4764|2236|2026|821|63|11|01|00
PahamunegamaNavakkulama|342343|1,6141,599|152158|140133|147124|117132|11696|133141|134138|121119|100100|115110|104102|8687|6265|3834|1823|1622|108|27|00|30
GaladivulwewaJayagama|344347|1,0211,123|109118|106112|7890|74102|6278|6879|10593|9192|5662|6471|6955|4452|4554|2130|1823|85|27|10|00|00
AmunukoleMihiripura|348352|1,844854|19992|16284|13268|13265|15462|17762|16082|13559|12553|10260|10847|9550|7529|3817|2010|188|71|43|00|12
Pahala KedithokkuwaRankethgama|351353|1,6292,130|145179|158170|126162|143204|118193|143187|144170|121161|90153|105131|89133|93108|6280|3445|1723|2018|127|55|31|10
OttappuwaRajanganaya|354|1,63233,543|1663,367|1322,877|1332,525|1372,444|1002,468|1332,738|1273,141|1462,427|1122,136|1132,020|972,034|751,730|611,422|35876|33583|19366|7223|3107|133|226
Track 13,18Track 16,17|456458|1,4633,268|164379|130312|125267|98217|92211|141249|142353|98269|91181|75174|79164|84139|64132|3595|2053|1135|1119|116|23|00
VeheragalaYaya 12|455454|2,8431,463|285148|249136|213112|211109|207117|236131|273117|22088|16192|152104|150120|15082|12235|9030|5821|2913|235|92|21|30
Track 09 ‐ 10Track 11|452453|1,8641,281|186120|172102|140101|14191|14790|15097|167124|14079|10491|13971|11694|7964|6866|4234|2526|1718|139|84|50|50
Track 15Gemunupura|457451|2,5091,857|263167|215157|193157|192126|177150|215145|210166|155129|185131|164103|181126|130112|9367|4243|3928|2730|169|105|23|03
Track 07 Thumbullegama|450449|1,2591,358|108154|103122|9591|9090|8799|91130|108136|92107|9174|10576|6796|6066|6162|3217|3812|196|914|25|10|01
RandenigamaTrack 04|447445|1,2811,355|119119|100106|10088|92104|9794|102117|128127|93102|7077|8162|7670|7681|7076|2759|1732|1617|914|85|02|03
Track 03Naigala|444443|1,0921,351|111126|82100|6875|76103|70110|8489|103114|83101|6596|6684|6779|7977|5277|4447|1730|1220|812|46|12|03
ThissapuraMaha Thimbirikalla|446442|8781,913|76181|70170|51134|62144|84148|80155|87196|46140|43106|59113|54105|5786|3692|2955|1646|1217|415|76|23|31
Angamuwa04 1/2 Kanuwa|448441|1,3301,375|147115|124135|99119|92113|123107|9693|129101|10398|105113|8598|8073|4760|3962|2430|1528|1015|611|41|11|12
SirimapuraPanthiyawa|440439|1,1611,148|130108|9270|9283|9978|6793|98119|114113|7884|8863|6952|5989|6553|4361|2635|1425|1516|95|20|10|01
KalundegamaThambuttegama|438|1,49442,437|1614,185|1303,699|1223,339|1163,398|983,211|1203,516|1333,851|1223,267|1092,954|882,622|892,439|832,145|441,598|40907|23624|11356|2192|285|123|026
KongollewaKelegama|431433|2,5301,610|254189|202140|200113|228154|190130|201114|221116|184128|182123|15597|14184|12275|8754|6342|4731|2815|162|73|10|10
PahalagamaSolama|432434|1,6541,129|13197|10591|144102|132117|12983|20685|119120|11398|11185|12472|10160|7956|6637|3915|236|193|91|31|10|00
Maha BellankadawalaEriyagama|435430|1,6001,204|14995|143113|13570|114113|14084|12996|133107|13095|11772|9866|11479|7663|5774|3132|1618|1113|34|45|01|04
DelnegamaKuda Bellankadawala|436437|1,2591,139|137137|113100|9885|8983|9584|10295|107122|103100|9260|8467|7870|6649|4637|2015|1219|96|56|33|00|01
KonwewaJayasirigama|425423|1,774885|17196|14475|13361|13358|13576|15885|13792|13560|13356|11749|11146|9548|7733|4017|2522|163|54|41|42|11
LunuwewaVeheragala|422426|1,1772,037|135206|99187|78147|67166|97176|125180|114188|75136|64126|71153|67141|8496|4656|2732|1321|912|56|02|04|12
ThammennagamaNallachchiya|424421|3,3042,553|292279|314225|269219|266210|239171|217189|322232|285225|227190|212162|203132|191105|12388|6049|4541|2219|910|54|02|31
GalviharawewaThelhiriyawa|429427|1,2371,641|105141|108137|92132|86117|84133|113132|119122|83111|90126|60119|83101|8290|5262|2840|2230|1420|915|710|02|01
IkiriwewaMusalpitiya|419420|3,3711,651|369161|341158|312130|323129|295103|270138|331170|232126|20195|182118|165102|13291|10260|5126|3419|1316|114|05|20|50
ThambuttegamaThispanepura|418428|1,837875|18176|15055|13856|13471|13867|19384|18675|17053|13561|7664|10363|8351|5842|4218|2615|1114|97|32|11|00
MakulewaThammennawa|415417|1,3591,787|127183|119145|115131|105143|96129|113144|122148|123134|102145|70110|5379|65108|5665|3760|2830|1722|710|31|10|00
MudungodaHelambawewa|416413|1,531891|14782|14666|11669|12769|10566|12364|15183|11066|9458|9162|6957|8940|7049|4122|2815|1110|127|04|10|02
HureegaswewaWeliyawa|412414|1,1951,207|122123|119104|9995|9173|8779|7882|106108|9399|11396|7370|6077|5158|4952|2733|1325|914|313|05|00|21
ThalawaDaladapura|408|57,793791|5,59271|4,68449|4,30257|4,58378|4,49575|4,66359|5,26055|4,42154|3,99553|3,81255|3,41555|3,01053|2,39829|1,26021|85316|5409|2911|1281|330|580
Pahala Thalawa Moragoda|407405|1,1731,770|121197|99135|66144|93136|98136|100141|95176|89137|81124|67117|7788|6264|6277|2541|1929|1216|68|10|02|02
KumbukgahawewaNawa Hanguranketha|410409|1,6841,752|169173|165146|159112|118131|128123|112166|148180|153129|121101|11392|9272|7972|4778|2870|2736|1034|610|321|10|56
HirigollegamaKaragahawewa|411406|2,0112,381|228240|174213|146178|170195|150162|179193|188226|131191|122186|124147|114137|108101|6992|4653|2732|1921|1010|33|10|21
Ihala Thalawa Hinguruwewa|404401|2,3081,063|175118|17884|18877|20475|19369|17272|193107|18987|19272|18776|12659|10956|7751|4822|3415|1811|159|92|10|01
KorakahawewaKurunduwewa|402403|8351,881|86198|68142|53137|76163|59159|70163|85170|61143|56133|57118|4898|3990|3666|1543|630|1219|57|22|00|10
Meegassegama|400|1,545|141|137|114|144|118|153|140|112|118|89|96|73|51|21|16|17|4|0|0|1
KiralogamaKadurugaswewa|398389|1,5751,117|165116|13488|10977|129108|127115|11886|14199|12283|12076|10160|8960|7854|6838|3023|2617|57|105|32|02|01
PalugaswewaKetakale|391399|2,2461,568|220155|202117|176108|166124|181122|175129|233134|154131|150109|15385|146107|11298|8274|3533|1626|245|138|52|20|11
RajjallegamaEliyadivulwewa|396388|1,0301,779|100163|76155|74128|82144|84140|76147|94176|74132|67125|75115|5893|49112|5562|2629|2318|1019|213|24|10|24
Ihala Siyambalewa Eppawala|390373|1,8411,981|188185|123151|133165|129132|145174|180137|195171|128149|107131|94164|114127|111108|9174|5451|2929|719|610|43|21|10
MawathawewaNallamudawa|377376|1,1321,321|141156|80102|8388|86120|9794|93117|108130|100102|7986|7083|5976|5161|4452|1820|1021|89|13|20|00|21
MedagamaKiriamunukole|381375|1,4621,627|125138|117137|102134|124118|105130|106118|143139|129117|104126|97116|9497|8582|5559|3846|1434|1221|810|44|00|01
KadigawaMediyawa|374392|1,220960|12691|8874|9669|10678|9979|8886|10380|9476|6274|10262|7057|6644|5235|3419|1915|811|78|00|00|02
Katiyawa Track 02Galwaduwagama|387394|7491,125|71102|7187|5880|5170|4892|47111|68115|7993|5467|4566|4458|3683|3351|1817|1415|510|55|22|01|00
Ihala Halmillewa Adhiranigama|395397|9981,615|87176|84134|64115|71121|81113|76130|81161|65116|64105|6690|7982|6291|5090|1832|1631|1617|57|62|12|60
Katiyawa Track 10Katiyawa Track 09|385384|1,2511,803|113168|109135|103138|113135|91125|124160|99166|96125|81124|82113|67110|6793|6199|1646|1515|131|710|44|13|13
Katiyawa Track 01Endagala|386393|1,9341,578|186145|147132|142120|134119|171115|154141|185139|154108|128109|131101|108109|10495|8264|4536|3223|144|98|66|01|23
